epoch	avg_score	avg_Q	empowerment
0	-1217.6040814193939	0.0018208099901676179	0.0462648831307888
1	-1431.9512459733546	0.2877799114038537	0.06784585863351822
2	-1440.589613096576	0.6921507753270966	0.08028307557106018
3	-1349.541810669981	1.7084736573118915	0.09994301944971085
4	-1387.8787600671783	2.7825836789805014	0.14397160708904266
5	-1482.2414856477894	1.724995740010817	0.18735678493976593
6	-1539.0268823326646	0.5394918946349061	0.2181326448917389
7	-1517.1358312467132	0.5946066498475635	0.23679716885089874
8	-1497.3737736857468	0.784553723516396	0.24994567036628723
9	-1499.046625325294	0.5250191796531871	0.2654820382595062
