epoch	avg_score	avg_Q	empowerment
0	-1496.9870936868974	0.00034307077527046204	0.02321195974946022
1	-1483.4448135088726	0.45910368518486	0.0425189770758152
2	-1300.7013952035911	2.1616375818546087	0.06287455558776855
3	-1117.6294881638667	3.820145072610796	0.08417268097400665
4	-953.2717454923496	4.781640114198516	0.09594151377677917
5	-739.7185277523309	5.6621405550339166	0.11229188740253448
6	-541.7608814131314	7.103670188158406	0.1243002787232399
7	-479.7573215819864	7.113634440325538	0.13271626830101013
8	-616.3435590338675	6.602935449151838	0.14363537728786469
9	-560.6756392060474	6.909356000488923	0.15126101672649384
