epoch	avg_score	avg_Q	empowerment
0	-1317.760324524296	0.0007224082946777344	0.007051946595311165
1	-1478.411789501884	0.09848260880533374	0.024474216625094414
2	-1446.4060661726417	1.7208617729226627	0.0383882075548172
3	-1508.7026297759455	0.9884115320882626	0.04775913059711456
4	-1534.7277328490752	0.5118428671896319	0.07632220536470413
5	-1553.5308207835544	0.2283046381209435	0.10777200758457184
6	-1510.8500129668134	0.38160059935124074	0.12979558110237122
7	-1266.5553237521756	2.9851450081756417	0.11105486750602722
8	-1047.7091460338531	4.163252855941539	0.12444763630628586
9	-998.8816842614361	4.268885251006546	0.13476687669754028
