state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.048141904175281525	-0.04174354672431946	0.07637470960617065	-0.08482344448566437
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.05661635100841522	-0.03770719841122627	0.09007900208234787	-0.08738487958908081
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06392847746610641	-0.033743664622306824	0.10348839312791824	-0.0899294838309288
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.07163873314857483	-0.029657438397407532	0.11709520220756531	-0.092524453997612
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0797552615404129	-0.02565954253077507	0.13094019889831543	-0.0950540155172348
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0873909592628479	-0.02163386344909668	0.1448509246110916	-0.09741690754890442
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0940399318933487	-0.017793532460927963	0.15864382684230804	-0.09984040260314941
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.10022267699241638	-0.013843387365341187	0.17236721515655518	-0.10222983360290527
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.10601940006017685	-0.009622137993574142	0.18592217564582825	-0.10465545952320099
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.11154467612504959	-0.0052771978080272675	0.1992746740579605	-0.10712510347366333
