state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.08740875124931335	-0.02715453691780567	0.10052844882011414	-0.08536788076162338
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.09616037458181381	-0.023967765271663666	0.11264012008905411	-0.08843962848186493
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.10425528138875961	-0.02077662944793701	0.12432564795017242	-0.09145712852478027
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.11265620589256287	-0.017598852515220642	0.13592274487018585	-0.09456340968608856
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.12293170392513275	-0.014525413513183594	0.1478584110736847	-0.09784556925296783
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.13493096828460693	-0.011423338204622269	0.16034579277038574	-0.10124321281909943
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.14808744192123413	-0.008222915232181549	0.17323514819145203	-0.10466562956571579
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.162297785282135	-0.004993461072444916	0.18649320304393768	-0.10814139991998672
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.17698204517364502	-0.0017901770770549774	0.1997358649969101	-0.11170323193073273
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1914784163236618	0.0013239793479442596	0.21242386102676392	-0.11533014476299286
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2056310772895813	0.004499267786741257	0.22433467209339142	-0.11894866079092026
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.21903836727142334	0.007739923894405365	0.2348930388689041	-0.1226077526807785
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.23130550980567932	0.01100216805934906	0.24384911358356476	-0.12625186145305634
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.24225902557373047	0.014257986098527908	0.2510572373867035	-0.12992016971111298
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2517469823360443	0.017571698874235153	0.2564242482185364	-0.13369296491146088
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.25959014892578125	0.020961567759513855	0.2598884701728821	-0.13755536079406738
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2650530934333801	0.024402644485235214	0.26144832372665405	-0.14148220419883728
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26909950375556946	0.02785913273692131	0.2617618441581726	-0.1454785168170929
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2712935209274292	0.03132375329732895	0.2606739401817322	-0.14959406852722168
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2720664143562317	0.034901898354291916	0.25878751277923584	-0.15397661924362183
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.27176836133003235	0.03869589790701866	0.2562693953514099	-0.1586141735315323
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2707020044326782	0.042633142322301865	0.25337234139442444	-0.16341236233711243
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2692425847053528	0.046684425324201584	0.25033673644065857	-0.16833803057670593
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26736313104629517	0.05081043764948845	0.2471752017736435	-0.1733587086200714
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26514798402786255	0.055004533380270004	0.24399109184741974	-0.178638756275177
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2635434567928314	0.059233829379081726	0.2413708120584488	-0.1841403990983963
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26187101006507874	0.06353472173213959	0.23889943957328796	-0.18984392285346985
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26067882776260376	0.06800606846809387	0.23681168258190155	-0.19570797681808472
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26035621762275696	0.07249949127435684	0.2353857308626175	-0.20185211300849915
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2610572278499603	0.07709281146526337	0.23469136655330658	-0.2082718312740326
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2624564468860626	0.08175606280565262	0.23455892503261566	-0.21497966349124908
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2645251154899597	0.08651368319988251	0.23495464026927948	-0.22207355499267578
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.26682204008102417	0.09149084240198135	0.23557481169700623	-0.22980579733848572
