state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.05331526696681976	-0.07508019357919693	0.013742325827479362	0.028058327734470367
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.05989035964012146	-0.07232506573200226	0.02780752070248127	0.024627963081002235
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06575625389814377	-0.06973493099212646	0.04192115366458893	0.021194059401750565
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.07150460034608841	-0.06713615357875824	0.056305281817913055	0.01763431914150715
