epoch	avg_score	avg_Q	empowerment
0	-1247.0343755295924	0.0024331364035606383	0.0177615936845541
1	-1419.7261533313138	0.9289282497785162	0.0075524235144257545
2	-1278.4483888236264	2.121114121463908	0.04329106584191322
3	-1121.241071511543	3.187227521820445	0.04993385821580887
4	-853.0105819998086	5.245105971500331	0.06997305899858475
5	-751.411115319611	5.078547435963871	0.08103664219379425
6	-525.6173157642565	7.2223814977780485	0.0914425402879715
7	-567.4424159340084	6.85514933178163	0.1007450595498085
8	-399.263303751101	8.175269797498855	0.102145254611969
9	-338.3019419530456	8.659565042597693	0.11270524561405182
10	-300.6569188877346	8.4870189158999	0.12204677611589432
11	-306.3737762981582	8.661085123652407	0.1256246715784073
12	-338.2232129241783	7.9399317805701735	0.13294130563735962
13	-282.59673915464526	8.639988872941899	0.132064551115036
14	-270.8424681246176	8.735493973918993	0.13839292526245117
15	-332.86562345140436	7.881310187485701	0.14789976179599762
16	-316.1805862429183	8.499594211429624	0.15355439484119415
17	-243.77197806701574	8.691646050829235	0.1560182273387909
18	-282.3670718904067	8.448731441086528	0.15182848274707794
19	-293.1411758360417	8.537848850599612	0.16349969804286957
20	-243.03253539704548	8.774338358229754	0.17032378911972046
21	-226.12359485167514	8.857804770747137	0.17828302085399628
22	-312.686327573501	8.342833206164471	0.18520118296146393
23	-317.40478932019784	8.155890887605374	0.1962970793247223
24	-246.7821862877296	8.691533956160239	0.20401671528816223
25	-324.40677242126253	7.9157697070937365	0.2113630473613739
26	-315.16765241926146	8.321789831750113	0.21452276408672333
27	-257.9739129063186	8.775380273350999	0.2139403223991394
28	-217.6897893205053	8.825793331258463	0.2170277088880539
29	-353.49746649101144	7.544885867529888	0.24008455872535706
30	-328.8599415943865	8.20554904264719	0.23866669833660126
31	-289.175977305321	8.609195741792309	0.24513033032417297
32	-222.77414247972303	9.065480022933489	0.24935291707515717
33	-283.4355913198119	8.148758968983893	0.2842785120010376
34	-330.64296905763035	8.523311374844008	0.2838824987411499
35	-238.8949587276408	9.048476673753168	0.26939794421195984
36	-246.60888892010564	8.65799142550761	0.2913622260093689
37	-265.55913509997265	9.111835918732725	0.3029695451259613
38	-321.9425167416936	8.303749074562491	0.3154450058937073
39	-209.23037110244422	9.128750783045673	0.3086529076099396
40	-233.92725475290192	8.767148961210486	0.32670220732688904
41	-261.15313614716945	8.68787655517325	0.3366187810897827
42	-219.4261391094338	9.138226344514694	0.34643879532814026
43	-362.064037290123	7.898392211719491	0.41985708475112915
44	-285.87434870876723	8.813435694290519	0.37537047266960144
45	-243.1602824402613	9.004488033413233	0.3832382559776306
46	-226.87212270124184	8.990471773264375	0.40046441555023193
47	-253.43997371703512	8.55064167266072	0.4554470181465149
48	-351.55475571749315	8.042022255363706	0.4791107177734375
