state	action	state_	source_mean	source_var	plan_mean	plan_var
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.06265129148960114	-0.0008346289396286011	0.01811782270669937	0.08103498816490173
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.07502283155918121	-0.0011112559586763382	0.03310692310333252	0.08059343695640564
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.08310499042272568	-0.000253068283200264	0.04670087248086929	0.07905784249305725
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.09015361964702606	0.001209896057844162	0.060464195907115936	0.07693112641572952
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.09678488224744797	0.00289233960211277	0.07470858842134476	0.07459400594234467
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.10299558937549591	0.004771051928400993	0.08925068378448486	0.07205843180418015
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.10912606865167618	0.006889503449201584	0.10439076274633408	0.06939885020256042
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.11545132845640182	0.009210765361785889	0.1201343834400177	0.06655630469322205
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.12189999967813492	0.011823516339063644	0.1365499198436737	0.06351196765899658
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1284412443637848	0.014621790498495102	0.15374590456485748	0.06033610180020332
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.13511145114898682	0.01751668006181717	0.17180770635604858	0.05704505741596222
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.14175300300121307	0.02046501636505127	0.19086429476737976	0.05367245525121689
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.14825288951396942	0.0232824869453907	0.21094255149364471	0.05034945532679558
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1543690413236618	0.026014145463705063	0.23116549849510193	0.04698661342263222
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1603272408246994	0.028521569445729256	0.2526722848415375	0.04355250298976898
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1660068929195404	0.030529789626598358	0.2750433683395386	0.03998785465955734
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.17138518393039703	0.03167788311839104	0.2979431450366974	0.03642260283231735
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.17673316597938538	0.032357506453990936	0.3222724497318268	0.03272946551442146
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.18212886154651642	0.03265587240457535	0.3480738401412964	0.028862886130809784
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.18777810037136078	0.03261646628379822	0.37581801414489746	0.02498326636850834
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.19373595714569092	0.03244270384311676	0.4056036174297333	0.020955465734004974
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.20000384747982025	0.03217159956693649	0.4374239444732666	0.016639772802591324
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2065855860710144	0.031984105706214905	0.47037574648857117	0.012250956147909164
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.21357199549674988	0.03178195655345917	0.504916787147522	0.00760582834482193
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2210555523633957	0.03158096969127655	0.541312575340271	0.002716217190027237
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.22887395322322845	0.03146902471780777	0.5792686939239502	-0.0023700743913650513
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.23727652430534363	0.03131185844540596	0.6195335388183594	-0.0077080391347408295
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.24586613476276398	0.031327955424785614	0.6605765223503113	-0.013303212821483612
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.25490570068359375	0.031024502590298653	0.7054486274719238	-0.019288670271635056
