epoch	avg_score	avg_Q	empowerment
0	-1182.8639942907414	-0.0007304187864065171	0.06191353499889374
1	-1367.5872000223792	1.0209144977947693	0.07635489106178284
2	-1188.7959782373441	2.780680753019952	0.09795443713665009
3	-942.4108972734987	5.014257958971427	0.11186722666025162
4	-806.3000624720156	5.248967357971579	0.12526798248291016
5	-571.6520576820266	6.94779115956433	0.13460339605808258
6	-459.3749928123258	7.412986851305275	0.14139004051685333
7	-442.13396195531845	7.252788351482681	0.14582480490207672
8	-268.3725024064094	8.961736338921812	0.15370672941207886
9	-256.5590945252064	8.436264397828209	0.15708626806735992
10	-264.5735720254246	8.855912866049472	0.16136637330055237
11	-243.96649568012484	8.938879222359338	0.16916081309318542
12	-275.7375374820941	8.272602901079116	0.17185552418231964
13	-276.6646723110863	8.36028179353762	0.1778741031885147
14	-257.23806887317375	8.645734389037056	0.17942911386489868
15	-304.1988185930821	8.460693803945547	0.17574702203273773
16	-233.62347911517753	9.19547134517209	0.17418739199638367
17	-203.6958717699623	9.103889376447054	0.1802666038274765
18	-229.11743260067257	8.762280494839832	0.1836109161376953
19	-179.65115782349883	9.457644446905693	0.19396793842315674
20	-337.1507462910335	7.926099809761132	0.20660673081874847
21	-275.9902990634671	8.626646628606382	0.20567895472049713
22	-390.3298043374559	7.500013259996248	0.23537711799144745
23	-344.21984544639554	8.28376441443232	0.21843482553958893
24	-369.21007456552184	7.530870762161555	0.2338116466999054
25	-379.4798917545834	7.90340326680097	0.24063250422477722
26	-233.4732828628483	9.203458904279412	0.22376567125320435
27	-228.57042356961242	9.123712725363479	0.2381415069103241
28	-250.7878609479609	8.63574562947236	0.2413262128829956
29	-205.48202323146896	9.292072459849416	0.24321983754634857
