state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0177223552018404	-0.041197605431079865	0.10234203189611435	-0.04397933557629585
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.024644337594509125	-0.03800471872091293	0.11689037829637527	-0.04775916412472725
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.032290615141391754	-0.03488258272409439	0.13225223124027252	-0.051457133144140244
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.04219941049814224	-0.031841978430747986	0.14881247282028198	-0.05518516153097153
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.05400048941373825	-0.028795253485441208	0.1664126217365265	-0.059010643512010574
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06705834716558456	-0.025652332231402397	0.18470601737499237	-0.06287310272455215
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.08105167746543884	-0.022561758756637573	0.2034492939710617	-0.06680331379175186
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.09589800983667374	-0.019475089386105537	0.22262053191661835	-0.07092971354722977
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1102641373872757	-0.016489574685692787	0.2410787045955658	-0.07517838478088379
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.12466314435005188	-0.01346900500357151	0.25903135538101196	-0.07949897646903992
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1390083134174347	-0.01036616787314415	0.27630889415740967	-0.08386488258838654
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1530042439699173	-0.00718202069401741	0.29242652654647827	-0.08837978541851044
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.16631940007209778	-0.003944769501686096	0.30688855051994324	-0.09313454478979111
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.17873936891555786	-0.0006150752305984497	0.3193502724170685	-0.0980268344283104
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.18942250311374664	0.0028707943856716156	0.32927989959716797	-0.10301542282104492
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19834885001182556	0.006528940051794052	0.33677875995635986	-0.10818718373775482
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20495009422302246	0.010288368910551071	0.340861439704895	-0.11354084312915802
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20911061763763428	0.014157559722661972	0.3419981598854065	-0.11910588294267654
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2114427387714386	0.018032021820545197	0.3404006063938141	-0.12477205693721771
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2124815434217453	0.02203291654586792	0.3370651304721832	-0.1305963397026062
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.21205931901931763	0.02593361958861351	0.3323275148868561	-0.1364903450012207
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2101714015007019	0.029836710542440414	0.32634544372558594	-0.14271487295627594
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2074577510356903	0.03369830548763275	0.3195127546787262	-0.149269238114357
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20435218513011932	0.03755471482872963	0.31240537762641907	-0.1562330722808838
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2012391984462738	0.0414951927959919	0.30548691749572754	-0.1633916050195694
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19835391640663147	0.045487746596336365	0.29902225732803345	-0.17063650488853455
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19612599909305573	0.04960015043616295	0.29332756996154785	-0.1780065894126892
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1945456713438034	0.05382058396935463	0.2885136902332306	-0.18562966585159302
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19399309158325195	0.05832521244883537	0.2847341299057007	-0.19325262308120728
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1944037228822708	0.06297069042921066	0.28198808431625366	-0.20117494463920593
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19588902592658997	0.06761136651039124	0.2802906036376953	-0.20949962735176086
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19843654334545135	0.0723470076918602	0.2795889675617218	-0.218208447098732
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20220153033733368	0.07719293236732483	0.2801528871059418	-0.22701220214366913
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20622029900550842	0.0821414515376091	0.28140124678611755	-0.236099511384964
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2110898494720459	0.08719854801893234	0.28342539072036743	-0.24567829072475433
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2166728377342224	0.09243723005056381	0.2862640917301178	-0.25592732429504395
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2228381335735321	0.09786821901798248	0.2898460030555725	-0.26664572954177856
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2292317897081375	0.10337310284376144	0.2937280535697937	-0.2778359055519104
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.23511353135108948	0.10893600434064865	0.2974779009819031	-0.2896336019039154
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.24059563875198364	0.11479310691356659	0.301211953163147	-0.3021676242351532
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2452974170446396	0.12080314755439758	0.30468618869781494	-0.31569045782089233
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.24910980463027954	0.12699972093105316	0.3076205849647522	-0.3300894498825073
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.25158578157424927	0.13323204219341278	0.3100292980670929	-0.3453342020511627
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.25305959582328796	0.1395888775587082	0.31228530406951904	-0.36102527379989624
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.25365087389945984	0.1462775617837906	0.3142099678516388	-0.3775272071361542
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2542489767074585	0.15308353304862976	0.31681689620018005	-0.3949843645095825
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.25345754623413086	0.1602667272090912	0.3188691735267639	-0.41357213258743286
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.25147777795791626	0.16772770881652832	0.3202323317527771	-0.43336722254753113
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.24864761531352997	0.17540428042411804	0.32106298208236694	-0.45431557297706604
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.24537962675094604	0.18325990438461304	0.32201212644577026	-0.4764518737792969
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2416558712720871	0.1913081854581833	0.32279500365257263	-0.49988141655921936
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2381231039762497	0.19958636164665222	0.32380211353302	-0.5245470404624939
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.23524166643619537	0.20807775855064392	0.3256157338619232	-0.5509874224662781
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2334507703781128	0.21664273738861084	0.32891613245010376	-0.5788118839263916
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.23189258575439453	0.22560186684131622	0.3322654664516449	-0.6080895662307739
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.23066118359565735	0.23459894955158234	0.33750513195991516	-0.638566792011261
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.22996699810028076	0.24358533322811127	0.3437662422657013	-0.6702978610992432
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.22948795557022095	0.2525475025177002	0.3510203957557678	-0.7032729983329773
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.22853758931159973	0.26162970066070557	0.3576769530773163	-0.7377010583877563
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.22691196203231812	0.270782470703125	0.36387816071510315	-0.7734498381614685
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.22335301339626312	0.28030383586883545	0.36780524253845215	-0.8105942010879517
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.21801578998565674	0.2896897792816162	0.3680031895637512	-0.8468593955039978
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.21251434087753296	0.2993936538696289	0.3658859133720398	-0.884139895439148
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20739415287971497	0.30921030044555664	0.3644668757915497	-0.9227558374404907
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2028859704732895	0.3191565275192261	0.36216261982917786	-0.9619877934455872
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2003757804632187	0.3277629315853119	0.36302128434181213	-0.9995880126953125
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19922229647636414	0.335923433303833	0.3606943190097809	-1.0328991413116455
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.1997552216053009	0.343842476606369	0.3590214252471924	-1.0658602714538574
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.201009601354599	0.3503476083278656	0.35866254568099976	-1.0929603576660156
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20305167138576508	0.35611414909362793	0.36398935317993164	-1.116053819656372
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.20680159330368042	0.36206477880477905	0.37105095386505127	-1.1395357847213745
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2106020152568817	0.36812901496887207	0.3777776062488556	-1.1620310544967651
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.21464373171329498	0.37442827224731445	0.37958410382270813	-1.1821613311767578
