state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.03947729617357254	-0.050247907638549805	0.022113891318440437	-0.040763817727565765
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.03499067574739456	-0.0470212921500206	0.03390201926231384	-0.04381635785102844
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.03066478669643402	-0.04379956051707268	0.04545910283923149	-0.0468340665102005
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.026727888733148575	-0.0405154712498188	0.05689447373151779	-0.04984905570745468
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.022148441523313522	-0.03719080612063408	0.06795190274715424	-0.052802540361881256
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.016745872795581818	-0.03383316099643707	0.07890783995389938	-0.055711179971694946
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.01187522616237402	-0.030488455668091774	0.08965299278497696	-0.058702655136585236
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.0071470425464212894	-0.027192503213882446	0.09965718537569046	-0.06172293424606323
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.0031870221719145775	-0.02393566444516182	0.10774023830890656	-0.06472461670637131
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	7.548462599515915e-05	-0.020617645233869553	0.1139499768614769	-0.06772187352180481
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0025547267869114876	-0.017253264784812927	0.11907036602497101	-0.07060003280639648
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.004719441756606102	-0.01391301304101944	0.12324836850166321	-0.07345592975616455
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.006804347969591618	-0.010497070848941803	0.12691093981266022	-0.07638691365718842
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.00905534252524376	-0.007062133401632309	0.13077545166015625	-0.07939685881137848
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.011998778209090233	-0.0036047883331775665	0.1353919953107834	-0.08252757042646408
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.01543562300503254	-0.00012092664837837219	0.14096741378307343	-0.08573071658611298
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0193730928003788	0.003388635814189911	0.14744403958320618	-0.08897172659635544
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.02366621419787407	0.006934039294719696	0.15469792485237122	-0.09244983643293381
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.02813839726150036	0.010548032820224762	0.1624109297990799	-0.09603781998157501
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.03294961526989937	0.01423162966966629	0.17058943212032318	-0.09980680048465729
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.038375213742256165	0.018106654286384583	0.17909640073776245	-0.10380421578884125
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.045685507357120514	0.022075239568948746	0.18869128823280334	-0.10787197202444077
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.05339871346950531	0.02618204429745674	0.19832943379878998	-0.1121099442243576
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06096072494983673	0.03040843829512596	0.20738132297992706	-0.11647669225931168
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06832093000411987	0.03475486487150192	0.21584869921207428	-0.12102080881595612
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.07541830837726593	0.03919276222586632	0.2236817479133606	-0.1256030648946762
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.08259078860282898	0.04387257993221283	0.23098525404930115	-0.13045327365398407
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.09150917828083038	0.04865787550806999	0.2392502874135971	-0.13560530543327332
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.10363975167274475	0.05359513312578201	0.2496660053730011	-0.14105477929115295
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.11823411285877228	0.05869325250387192	0.2617996633052826	-0.14666590094566345
