state	action	state_	source_mean	source_var	plan_mean	plan_var
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.05491288751363754	0.04130849242210388	0.03087521344423294	-0.011890921741724014
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.07116672396659851	0.04560656100511551	0.04464143514633179	-0.015067189931869507
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.0836905688047409	0.049682047218084335	0.056967057287693024	-0.01819983497262001
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.09438164532184601	0.053710855543613434	0.06849066913127899	-0.021237138658761978
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.1059882640838623	0.057898543775081635	0.08041463047266006	-0.024540511891245842
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.11811548471450806	0.0621783472597599	0.0926591157913208	-0.027877794578671455
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.13052034378051758	0.06658292561769485	0.10504260659217834	-0.031273018568754196
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.14304833114147186	0.07096152007579803	0.11749652773141861	-0.03478838875889778
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.15619952976703644	0.07536664605140686	0.13021036982536316	-0.03848903626203537
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.1697358638048172	0.07984177768230438	0.14303027093410492	-0.04236040264368057
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.18334467709064484	0.08435647189617157	0.1558176577091217	-0.04638838768005371
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.19695405662059784	0.08893320709466934	0.1684858351945877	-0.0507756769657135
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.21075692772865295	0.09359008073806763	0.18122915923595428	-0.05543162301182747
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2246040552854538	0.0983201265335083	0.1940237134695053	-0.06025928258895874
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2381831407546997	0.10312064737081528	0.20662090182304382	-0.06505967676639557
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2512771487236023	0.10811804980039597	0.21885946393013	-0.06990789622068405
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.26393964886665344	0.11336768418550491	0.23086309432983398	-0.07502690702676773
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.27597489953041077	0.11868121474981308	0.24232511222362518	-0.08055756986141205
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2876219153404236	0.12402309477329254	0.2535274028778076	-0.08641558885574341
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.29845336079597473	0.12944863736629486	0.26400691270828247	-0.09246951341629028
