state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.006402932107448578	0.0018464978784322739	0.08725088834762573	-0.048157934099435806
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0031800419092178345	0.005317812319844961	0.10167043656110764	-0.051313258707523346
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.012607485055923462	0.00878711137920618	0.11612650752067566	-0.05454646423459053
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.022932689636945724	0.012372512370347977	0.13092771172523499	-0.05785549804568291
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.0336986668407917	0.01595677062869072	0.14593645930290222	-0.06136012449860573
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.044146087020635605	0.019537517800927162	0.1607998162508011	-0.06497469544410706
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.054878804832696915	0.023203924298286438	0.17586548626422882	-0.0686483234167099
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06561464071273804	0.026877157390117645	0.1908571571111679	-0.07241560518741608
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.07635020464658737	0.030646763741970062	0.20571240782737732	-0.07619818300008774
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.08714623749256134	0.034569598734378815	0.22039800882339478	-0.08007049560546875
