state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.07490786164999008	0.10305342078208923	-0.0026274174451828003	0.03207685053348541
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.06934288889169693	0.10700447112321854	0.010725639760494232	0.028085337951779366
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.06436986476182938	0.11087805032730103	0.023866966366767883	0.024180497974157333
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.05868083983659744	0.1148088276386261	0.037303224205970764	0.02017400413751602
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.051254235208034515	0.11848760396242142	0.04991193860769272	0.016273953020572662
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.04359404370188713	0.12229999154806137	0.06227590888738632	0.012355929240584373
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.03578665107488632	0.12612514197826385	0.07461591064929962	0.008404137566685677
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.02805737592279911	0.1299968659877777	0.08695335686206818	0.004382064566016197
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.02020403742790222	0.13393065333366394	0.09954667836427689	0.00020686723291873932
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	0.012442033737897873	0.13784469664096832	0.11215110868215561	-0.004082236438989639
