state	action	state_	source_mean	source_var	plan_mean	plan_var
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.040622636675834656	0.058278925716876984	0.09795724600553513	0.008416836149990559
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.05648607388138771	0.062110669910907745	0.11124713718891144	0.005781483370810747
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.06861546635627747	0.0658121332526207	0.12423823028802872	0.003129882039502263
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.08122271299362183	0.06960918009281158	0.13748803734779358	0.0003418193955440074
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.09511661529541016	0.07349050045013428	0.15120531618595123	-0.0025646714493632317
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.11075238883495331	0.07743636518716812	0.16544044017791748	-0.005604300647974014
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.12716519832611084	0.08142321556806564	0.18000611662864685	-0.008717469871044159
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.14463503658771515	0.08552096784114838	0.19495320320129395	-0.012016392312943935
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.16279640793800354	0.08977092802524567	0.21011391282081604	-0.01541160512715578
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.18110258877277374	0.09408697485923767	0.2252437174320221	-0.018866654485464096
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.19945141673088074	0.09840308129787445	0.24030335247516632	-0.022429518401622772
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.21740753948688507	0.10272009670734406	0.2550398111343384	-0.02594899944961071
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2344174087047577	0.10726797580718994	0.2690713703632355	-0.029486754909157753
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2501586377620697	0.1119920015335083	0.2822068929672241	-0.033076368272304535
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2640310823917389	0.1168542355298996	0.2939451336860657	-0.03660576790571213
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2757154703140259	0.1217467412352562	0.3039618730545044	-0.04033179581165314
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.28493377566337585	0.12674054503440857	0.31191471219062805	-0.04416342452168465
[1 0 0]	1.0	[0.99997188 0.00749993 0.15      ]	-0.2920592427253723	0.13180488348007202	0.3179948925971985	-0.04780523106455803
