epoch	avg_score	avg_Q	empowerment
0	-1277.8130199797104	0.005425828695297241	0.07209024578332901
1	-1442.388380511117	0.7937208104968324	0.08935427665710449
2	-1371.674427634582	1.3243265476053898	0.10543230175971985
3	-1311.895293542347	1.791336844482921	0.12279033660888672
4	-1265.9161533808422	2.174983307865761	0.14193399250507355
5	-1227.2832804646566	2.152230550739607	0.15121550858020782
6	-1065.202187024082	3.5809941139014323	0.1726788878440857
7	-1064.5400306921053	3.567424925574523	0.18440741300582886
8	-1027.438947757853	3.581434977149045	0.19091780483722687
9	-1077.8747973226286	3.157380949631111	0.19701342284679413
10	-1147.6473980052692	2.3300837923575988	0.2059248834848404
11	-1044.691519959927	3.376128035723059	0.21186521649360657
12	-1041.7544681364639	3.427509190853756	0.22602136433124542
13	-1051.3628115169527	3.0403003067232515	0.22782330214977264
14	-1045.1978773083622	3.4647102066315574	0.2250910848379135
15	-1086.7907018779647	3.136944390500594	0.23653623461723328
