state	action	state_	source_mean	source_var	plan_mean	plan_var
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.030961226671934128	0.07387000322341919	0.037685636430978775	-0.008150987327098846
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.04295226186513901	0.07633446156978607	0.051006995141506195	-0.010634154081344604
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.0552799329161644	0.07876613736152649	0.06375132501125336	-0.013057254254817963
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.0677342414855957	0.08119948953390121	0.076377734541893	-0.015566948801279068
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.07808062434196472	0.08352088928222656	0.08815184235572815	-0.018080584704875946
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.08741362392902374	0.08572826534509659	0.09933532774448395	-0.020535700023174286
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.096259206533432	0.08791879564523697	0.11031727492809296	-0.02292446978390217
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.1047583520412445	0.09009629487991333	0.12104654312133789	-0.025270555168390274
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.11375289410352707	0.09234081208705902	0.13229846954345703	-0.02769729122519493
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.12302155047655106	0.09463353455066681	0.14396217465400696	-0.03019893541932106
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.13267956674098969	0.09702055156230927	0.15594416856765747	-0.03280365467071533
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.14228054881095886	0.09944368153810501	0.16803544759750366	-0.03546268492937088
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.15180110931396484	0.10198803246021271	0.18017283082008362	-0.03814259171485901
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.1611706018447876	0.10458572953939438	0.19228747487068176	-0.04088745266199112
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.17026516795158386	0.10718546062707901	0.20425061881542206	-0.043735042214393616
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.17912063002586365	0.1097370982170105	0.21607811748981476	-0.04675634205341339
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.1876981556415558	0.11239606142044067	0.22771640121936798	-0.04993237927556038
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.19585220515727997	0.11515267938375473	0.23893490433692932	-0.05319346487522125
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.20343105494976044	0.11801251024007797	0.24948903918266296	-0.05650940537452698
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.21042503416538239	0.12092338502407074	0.2593446671962738	-0.05990065634250641
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.21687212586402893	0.12389014661312103	0.26850175857543945	-0.06333600729703903
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2226414978504181	0.1268656998872757	0.27671241760253906	-0.06683218479156494
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2276555597782135	0.12982231378555298	0.2838846743106842	-0.07039876282215118
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23193790018558502	0.132817804813385	0.28994399309158325	-0.07405108958482742
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23543541133403778	0.13597580790519714	0.29483819007873535	-0.0776679664850235
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23808136582374573	0.13920482993125916	0.29825085401535034	-0.08143576979637146
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23991121351718903	0.1424790918827057	0.3003513514995575	-0.08530689775943756
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.24101421236991882	0.14580276608467102	0.3012889325618744	-0.08929985761642456
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.24148029088974	0.1491842269897461	0.3012838363647461	-0.09355247020721436
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2413301020860672	0.15264660120010376	0.30022934079170227	-0.09801109880208969
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.24062976241111755	0.15619274973869324	0.2983510196208954	-0.10247696936130524
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23950807750225067	0.1598939150571823	0.2958843410015106	-0.10693638026714325
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23816052079200745	0.16376802325248718	0.29315391182899475	-0.11163224279880524
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2366154044866562	0.16772544384002686	0.2901674509048462	-0.1164175420999527
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23500794172286987	0.17176729440689087	0.2871330678462982	-0.12128418684005737
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23327472805976868	0.17591756582260132	0.2838501036167145	-0.12616293132305145
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.231522798538208	0.18012796342372894	0.28061437606811523	-0.1310783177614212
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.22993412613868713	0.1844545304775238	0.2776288390159607	-0.13620783388614655
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2285521924495697	0.1889781504869461	0.27497148513793945	-0.14148305356502533
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2274131178855896	0.1936618536710739	0.2727908194065094	-0.14682501554489136
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.22659923136234283	0.19847768545150757	0.27107203006744385	-0.15238147974014282
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.22608406841754913	0.2034195363521576	0.2697868347167969	-0.15823623538017273
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2257775366306305	0.20844003558158875	0.26886600255966187	-0.1639660894870758
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2257114052772522	0.2136419415473938	0.26834219694137573	-0.1700887531042099
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.22579996287822723	0.21905754506587982	0.2681141197681427	-0.1768791377544403
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.22627054154872894	0.22468997538089752	0.26842454075813293	-0.18408870697021484
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.22706030309200287	0.2305791676044464	0.26920661330223083	-0.19156956672668457
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2281869798898697	0.23677653074264526	0.27050742506980896	-0.199507474899292
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2295658439397812	0.2432100474834442	0.2722718119621277	-0.20787200331687927
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23117148876190186	0.24997064471244812	0.27444809675216675	-0.21680760383605957
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.23303809762001038	0.25711318850517273	0.2769617438316345	-0.2262016236782074
[0 1 0]	1.5	[-0.04873069  0.99881195  0.975     ]	-0.2349376082420349	0.2644285559654236	0.27956730127334595	-0.23601311445236206
