state	action	state_	source_mean	source_var	plan_mean	plan_var
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.05887306481599808	-0.0329325832426548	-0.020443109795451164	-0.04248923063278198
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.07576936483383179	-0.036848537623882294	-0.03391018509864807	-0.03925961256027222
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.08991622924804688	-0.040485963225364685	-0.0466352179646492	-0.036120086908340454
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.09928955137729645	-0.04384591430425644	-0.0582379475235939	-0.0331796370446682
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.10735476016998291	-0.04724846035242081	-0.06985586881637573	-0.0302544254809618
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.11617426574230194	-0.05074271559715271	-0.08210314065217972	-0.02725825645029545
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.12624984979629517	-0.054210517555475235	-0.09500913321971893	-0.024244697764515877
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.13623666763305664	-0.057699054479599	-0.10845592617988586	-0.021467076614499092
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.14714646339416504	-0.06124655902385712	-0.12266205996274948	-0.018858710303902626
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.15868999063968658	-0.06484977900981903	-0.13767768442630768	-0.016544846817851067
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.17038582265377045	-0.0686083510518074	-0.1533847153186798	-0.01518607884645462
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.18289878964424133	-0.07249698042869568	-0.17004728317260742	-0.014363545924425125
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.19637934863567352	-0.07643258571624756	-0.1877392679452896	-0.013814926147460938
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.2105678766965866	-0.08042709529399872	-0.20652110874652863	-0.013866480439901352
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.2252160608768463	-0.08448059111833572	-0.2263835072517395	-0.014448342844843864
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.23976574838161469	-0.0885990709066391	-0.24694719910621643	-0.015483077615499496
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.25441253185272217	-0.09269016981124878	-0.26848292350769043	-0.016864044591784477
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.26973074674606323	-0.0968262329697609	-0.29149505496025085	-0.01851738803088665
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.2859991788864136	-0.10095969587564468	-0.31616508960723877	-0.02038567326962948
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.3033533990383148	-0.10493834316730499	-0.34259170293807983	-0.022536979988217354
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.32167577743530273	-0.10892067849636078	-0.37085795402526855	-0.02499711886048317
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.3408452868461609	-0.11298912018537521	-0.401040643453598	-0.027702784165740013
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.360783189535141	-0.11678162962198257	-0.43313273787498474	-0.030674435198307037
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	0.3814343214035034	-0.1203152984380722	-0.4671284258365631	-0.033822011202573776
